,,,,,,
Talk Table,,,,,,
대화 ID,대사 순서,대사 식별,표시할 이름,왼쪽 캐릭터의 이미지 ID,오른쪽 캐릭터 이미지 ID,"대사
(줄넘김 사용)"
,,,밀비우스,,,오류가 뜬 시점이 아마 사망시각인거같아.
,,,밀비우스,,,신체적으로 부담을 주는 실험을 한다고 소장님이 언급했던가..
,,,밀비우스,,,가상 세계에서 무슨 일이 있었지?
,,,카우딘 독백,,,헬리오 소장님과 전투를 한거까지 말하면 밀비우스도 나를 의심할거야.
,,,카우딘 독백,,,루이스의 의심을 거두려면 그 부분은 빼고 말하는게 좋겠어.
,,,카우딘,,,"기억나비에 대한 시각적 공유, 가상 세계의 안정성 검사같은걸 해보셨어요."
,,,밀비우스,,,그렇다면 내가 아는거랑 큰 차이는 없는데.. 이상하네
,,,밀비우스,,,일딴 노트북으로 바로 알아낼 수 있는건 이정도네.
,,,카우딘 독백,,,넘어가서 다행이다.
,,,카우딘 독백,,,중요한게 많으니 적어둬야겠어
,,,,,,
,,,카우딘 독백,,,여기서 조사 가능한건 전부 해봤어.
,,,카우딘 독백,,,이걸 추리노트에서 정리하면 루이스를 설득 할 수 있을거야.
,,,카우딘 독백,,,말이 안통할거 같으면 프로토타입로 뭔가 해볼수도 있겠어..
,,,,,,
,,,루이스와 상호작용 시,,,
,,,루이스,,,..할 말은?
,,,,,,
,,,내 무죄를 증명한다.,,,
,,,카우딘,,,저는 헬리오 소장님을 죽일 수 없어요.
,,,,,,
,,,알맞은 추리노트 제공 시,,,
,,,카우딘,,,"저는 소장님과 계속 가상 세계에 있었고, 헬리오 소장님은 저보다 먼저 가상 세계에서 접속 종료됐죠."
,,,카우딘,,,아마 그때가 사망한 시점같아요. 
,,,카우딘,,,노트북에 있는 실험 기록을 보면 확실히 시간도 남아 있어요.
,,,루이스,,,그러니까 네 놈이 다른 세계에 있는동안 헬리오님을 건드릴 수 없다.
,,,루이스,,,그 말인가..
,,,카우딘,,,그런거죠
,,,,,,
,,,실험 기록 제공 시,,,
,,,카우딘,,,여기 제가 정리한 기록의 시간을 봐주시겠나요?
,,,카우딘,,,"저는 소장님과 계속 가상 세계에 있었고, 헬리오 소장님은 저보다 먼저 가상 세계에서 접속 종료됐죠."
,,,루이스,,,그건 누가 증명해주지?
,,,,,,
,,,밀비우스 선택 시,,,
,,,카우딘,,,밀비우스라면 이 실험의 내용을 알고 있을겁니다.
,,,루이스,,,네놈이랑 밀비우스가 한패일 수도 있지만..
,,,루이스,,,그렇게 생각하면 끝이 없으니 일딴 믿도록 하지
,,,,,,
,,,"레시아, 클레디, 헬리오 선택 시",,,
,,,카우딘,,,이 사람이라면 증명을 해줄..
,,,루이스,,,그 사람이 뭘 알지?
,,,카우딘 독백,,,다시 생각해보니 이 사람은 힘들거같아.. 다시 선택해야겠어
,,,,,,
,,,틀린 단서 선택 시,,,
,,,카우딘,,,이걸 보면 제 무죄를 증명할 수 있어요!
,,,루이스,,,...
,,,카우딘,,,...
,,,카우딘,,,죄송합니다. 다시 생각해볼게요..
,,,,,,
,,,루이스의 부탁,,,
,,,루이스,,,잠깐 따로 이야기좀 할까?
,,,,,,
,,,루이스,,,우선 의심해서 미안하다.
,,,루이스,,,좀 생각을 해봤는데 부탁하고 싶은게 있다.
,,,카우딘 ,,,어떤건가요?
,,,루이스,,,예정대로라면 이번 실험 결과에 대한 내용 발표로 기자 회견을 할 예정이였어.
,,,루이스,,,"헬리오님이 없는 지금 회견은 물건너갔고,"
,,,루이스,,,"내가 기자들을 돌려보내야되면서, 여기있는 용의자들도 감시해야돼."
,,,루이스,,,경찰을 불러서 이 일을 해결하면 여기있는 갱단과 연류된 연구들도 다 들어날거야.
,,,루이스,,,"근데 너는 헬리오님을 오늘 처음봤고, 범인이 아니라면 동기도 없을거야."
,,,루이스,,,나 대신 범인을 찾아줄 수 있겠나?
,,,카우딘 독백,,,내가 그나마 연관이 아닌 제 3자일테니 범인을 찾아달라는거네.
,,,카우딘,,,구체적으로 어떻게 하면 되죠?
,,,루이스,,,"당장 용의자로 생각나는 밀비우스, 클레디, 레시아를 집중적으로 조사하고,"
,,,루이스,,,연구소도 적극적으로 수색해서 범인을 찾기만 하면된다.
,,,루이스,,,범인을 알거같으면 나한테 알려주면 된다.
,,,루이스,,,범인을 찾기만 한다면 상부에 보고해서 큰 보답을 하도록 하지.
,,,카우딘 독백,,,헬리오 소장님은 내 친구에 대해 알고 있었어.
,,,카우딘 독백,,,이걸 계기로 연구소를 조사하면 친구를 찾을 단서를 찾아낼지도 몰라.
,,,카우딘,,,굳이 보답이 아니더라도 이번 사건을 조사해보고 싶었어요. 
,,,카우딘,,,제대로 조사해볼게요!
,,,루이스,,,좋아. 범인을 찾는다면 연구소 입구쪽에 있는 나를 찾아오도록 해.
,,,루이스,,,용의자들한테는 너한테 협조하라고 말해둘게.
,,,,,,
,,,,,,
,,,헬리오의 컴퓨터,,,
,,,카우딘 독백,,,피해자의 컴퓨터야. 사건과 관련된 무언가 있을 수 도 있어.
,,,카우딘 독백,,,실험 내역이 많지만 가장 최근에 열어본 파일은 3개만 
,,,,,,
,,,ALB-418 기억나비 실험,,,
,,,컴퓨터,,,실험명 : ALB-418 기억나비
,,,컴퓨터,,,목적 : 피험자가 발언한 기억과 관련된 물체를 피험자 외 사람도 보게하는 것이다.
,,,컴퓨터,,,실험 개요 : 프로토타입 장비를 활용하여 피험자의 뇌파를 기반으로 가상의 세계를 만든다.
,,,컴퓨터,,,가상의 세계에서 피험자와 다른 대상이 기억과 관련된 물체가 보이는 지를 관찰한다.
,,,컴퓨터,,,활용 용도 : 기억에 관련된 물체를 활용하여 기억 추출 및 대체가 가능한지 활용한다.
,,,컴퓨터,,,"필요 내역 : 착용 장비의 한계 150%, 프로토타입 장비, 피험자, 호로몬 증폭제"
,,,카우딘 독백,,,이게 내 실험인거같네
,,,카우딘 독백,,,새로 알게된 부분정도만 메모 해둬야지.
,,,,,,
,,,RIC-511 초인화 승급 실험,,,
,,,컴퓨터,,,실험명 : RIC-511 초인화
,,,컴퓨터,,,"목적 : 피험자의 근육을 강화하고, 피로물질을 신속분해하는 약물 개발이다."
,,,컴퓨터,,,실험 개요 : 리처드 약물이 피험자에게 주입하여 피험자의 신체가 강해지는 정도를 측정한다.
,,,컴퓨터,,,활용 용도 : 단기간 신체능력 상승이 목적이다.
,,,컴퓨터,,,"필요 내역 : 리처드 약물, 피험자"
,,,카우딘 독백,,,영화에서 본거같은 약물인데?
,,,카우딘 독백,,,이것도 메모는 해두자.
,,,,,,
,,,JUL-422 리셋 실험,,,
,,,컴퓨터,,,실험명 : JUL-422 리셋
,,,컴퓨터,,,목적 : -
,,,컴퓨터,,,실험 개요 : -
,,,컴퓨터,,,활용 용도 : -
,,,컴퓨터,,,필요 내역 : -
,,,카우딘 독백,,,이 실험은 특이하게도 최근에 열람해봤는데 내용은 없네.
,,,카우딘 독백,,,적을건 딱히 없지만 메모는 해두자.
,,,,,,
,,,레시아의 컴퓨터 조사,,,
,,,컴퓨터,,,비밀번호를 입력하십시오.
,,,카우딘 독백,,,레시아의 컴퓨터는 비밀번호를 걸어놨네.
,,,,,,
,,,레시아의 컴퓨터 비밀번호 입력 이후,,,
,,,Nie-107 조직 재생 실험 데이터 입력 값,,,
,,,ALB-418 기억나비 데이터 입력 값,,,
,,,레시아의 메모,,,
,,,컴퓨터 종료,,,
,,,,,,
,,,Nie-107 조직 재생 실험 데이터 입력 값,,,
,,,컴퓨터,,,"착용 장비 120%, 악물량 200mg ..."
,,,,,,
,,,ALB-418 기억나비 데이터 입력 값,,,
,,,컴퓨터,,,"착용 장비 1500%, 약물량 100mg"
,,,,,,
,,,레시아의 메모,,,
,,,컴퓨터,,,XX년 06월 XX일 실험 마무리를 잘 못해서 헬리오 소장님한테 또 혼났다. 
,,,컴퓨터,,,그게 그렇게 잘못한 일인가..
,,,컴퓨터,,,XX년 06월 XY일 헬리오 소장님한테 혼나고 밀비우스님한테도 혼났다.
,,,컴퓨터,,,다행히 밀비우스님은 덜 혼내는데 괜찮은 사람인거같다.
,,,컴퓨터,,,XX년 06월 XZ일 이번엔 큰 잘못도 아닌데 헬리오 소장님한테 또 혼났다.
,,,컴퓨터,,,이번거는 아빠한테 꼭 말해야겠다. 너무 슬프다.
,,,컴퓨터,,,XX년 07월 AA일 실험 입력 값을 잘못 입력해서 실험을 망쳤다.
,,,컴퓨터,,,엄청 크게 혼나서 정신이 나갈거같다.
,,,컴퓨터,,,XX년 07월 AB일 클레디 기자님을 알게 되었다.
,,,컴퓨터,,,같이 헬리오 소장님을 욕하는데 너무 재밌었다.
,,,카우딘 독백,,,무슨 어린애 일기같은게 계속 적혀있어.
,,,카우딘 독백,,,레시아는 헬리오 소장님한테 감정적으로 많이 혼났나보네.
,,,카우딘 독백,,,나중에 이거에 대해 직접 물어보자
,,,,,,
,,,립스틱,,,
,,,카우딘 독백,,,여자들이 입술이 바르는 흔한 립스틱이야.
,,,카우딘 독백,,,딱히 특이사항은 없어보이네.
,,,,,,
,,,카메라,,,
,,,카우딘 독백,,,아까 나를 찍었던 디지털카메라야.
,,,카우딘,,,여기 있는 사진들을 볼 수 있을까요?
,,,클레디,,,그럼요.
,,,카우딘 독백,,,역시 내 사진도 있네.. 몇 개는 단서노트에 추가해두자.
,,,,,,
,,,스마트폰,,,
,,,클레디,,,이건 보여줄 수 없겠는데요
,,,카우딘,,,이유를 알 수 있을까요?
,,,클레디,,,여자의 비밀이랍니다.
,,,카우딘,,,??..
,,,클레디,,,쉽게 말하면 사생활이란거죠.
,,,,,,
,,,메모지,,,
,,,카우딘,,,그 메모지는 무엇인가요?
,,,클레디,,,그건 여기 연구소에 대해 개인적으로 조사해본 메모에요.
,,,클레디,,,
,,,카우딘,,,그렇게 말하니 궁금하네요.
,,,메모지,,,"헬리오의 연구 성과 갯수 5개, 밀비우스의 연구 성과 11개, 레시아는 없음."
,,,메모지,,,하우즌 갱에 받은걸로 보이는 물품 포착
,,,카우딘 독백,,,메모를 보니 궁금증이 더 생기네.
,,,카우딘 독백,,,단서로 추가해두고 클레디한테 또 물어보자.
,,,,,,
,,,기사조각,,,
,,,카우딘,,,이건 어떤건가요?
,,,클레디,,,제가 개인적으로 기억하고 싶은 기사들만 따로 보관해두었어요.
,,,카우딘,,,볼 수 있을까요?
,,,클레디,,,그럼요.
,,,기사 조각,,,제목 : 클라우 연구소의 성과
,,,기사 조각,,,클라우 연구소에서는 최근에 엑시온 해전에서 침몰한 배를 발견했다고 합니다.
,,,기사 조각,,,해당 배는 아군이 불리한 해전에서 아군의 퇴각을 위해 적에게 돌격한 영웅적인 전투함입니다.
,,,카우딘 독백,,,과거 유명한 해전에 대한 기사가 있네..
,,,기사 조각,,,제목 : 블랙홀 시뮬레이션을 주장하는 안데스 천문대
,,,기사 조각,,,이 세계는 블랙홀이라는 거대한 시뮬레이션 장치라는 이론을 안데스 천문대에서 발표했다.
,,,기사 조각,,,현 과학계에서 바로 반박에 들어갔으나 안데스 천문대는 이에 대한 증거를 더 발견하고 발표할 예정이라 한다.
,,,카우딘 독백,,,이 기사에 의하면 블랙홀은 컴퓨터고 우리는 게임 프로그램이라는건가.
,,,기사 조각,,,휴먼 아키텍쳐 연구소의 엑소슈트 개발 중
,,,기사 조각,,,영화에서 나오는 엑소슈트를 개발 중이라고 밝혔다.
,,,기사 조각,,,휴먼 아키텍처의 연구소장은 일반인이 사용 가능한 수준으로 양산화 모델을 목표중이라고 한다.
,,,카우딘 독백,,,여기 연구소는 이런 연구도 하고 있었구나.
,,,카우딘 독백,,,기사를 요약해서 노트에 적어둬야겠어.
,,,,,,
,,,엑소슈트 연구,,,
,,,연구 내용,,,제목 : 엑소슈트 연구
,,,연구 내용,,,의뢰인 : 레시아 아빠(차후 수정)
,,,연구 내용,,,연구 목적 : 많은 사람을 단기간 내 강하게 만들 수 있는 슈트를 개발한다.
,,,연구 내용,,,내용 : 상하체에 유연한 움직임을 받아드릴 수 있는 유연한 구조를 설계해야한다.
,,,연구 내용,,,사람마다 다른 신체를 수용 가능하게 어느정도 길이 조절이 가능해야한다.
,,,연구 내용,,,착용시 200kg의 물체를 들고 달리기가 가능한지 테스트 해본다.
,,,카우딘 독백,,,신기한 연구를 하고 있었네.
,,,,,,
,,,XXXX연구,,,
,,,,,,
,,,XXX연구,,,
,,,,,,
,,,클레디한테 메모에 대해 물어보기,,,
,,,카우딘,,,휴먼아키텍처 연구소에 대해 적은 메모의 내용을 알려주 실 수 있나요?
,,,클레디,,,메모의 내용의 요점은 밀비우스의 능력이 뛰어나다는 거에요.
,,,클레디,,,헬리오 소장님의 능력이 부족한건 아니지만 실적이 밀비우스보다 밀려요.
,,,클레디,,,"레시아는 들어온지 얼마 안되서 논외로 치면, "
,,,클레디,,,여기 연구소를 이끌고 있는건 밀비우스라고 볼 수 있죠.
,,,카우딘,,,흥미롭네요
,,,클레디,,,제 생각에는 밀비우스가 소장님한테 불만을 품을수도 있겠다는 생각이 들어요.
,,,클레디,,,차기 연구소장은 밀비우스인게 거의 확실시 되는 분위기니까요.
,,,카우딘,,,그러면 밀비우스에게는 헬리오 소장님이 없다면 소장이 되서 이득볼 여지가 있다는거네요?
,,,클레디,,,멀리 생각하면 그렇죠.
,,,클레디,,,물론 밀비우스가 소장님을 죽였다고 생각하기는 싫어요.
,,,클레디,,,그냥 그렇다는 거죠
,,,카우딘,,,중요한 이야기네요.
,,,카우딘 독백,,,밀비우스 관련해서 적어두자.
,,,,,,
,,,클레디의 소지품에 대하여,,,
,,,카우딘,,,클레디씨. 조사를 위해서 개인적인 소지품을 조사해보고 싶은데 괜찮을까요?
,,,클레디,,,흠..
,,,클레디,,,어쩔수없네요. 정말 개인적인거는 거부할거에요.
,,,카우딘,,,알겠습니다. 감사해요.
,,,,,,
,,,지금 무엇을 하고 있는가?,,,
,,,카우딘,,,루이스님은 지금 뭘 하고 계신가요?
,,,루이스,,,오늘 기자회견 때문에 온 기자들을 돌려보내고 있다.
,,,루이스,,,그리고 너네 감시까지 하고있지.
,,,카우딘,,,그렇군요..
,,,,,,
,,,무엇인가 알려줄 것이 있는가?,,,
,,,카우딘,,,혹시 새롭게 알게 된 정보가 있나요?
,,,루이스,,,아쉽게도 없다.
,,,카우딘,,,알겠습니다..
,,,,,,
,,,할 말은 끝났다.,,,
,,,,,,
,,,범인을 알아냈다.,,,
,,,카우딘,,,범인을 알아냈어요. 루이스씨
,,,루이스,,,그런가
,,,루이스,,,사람을 불러 모와주지
,,,루이스,,,범인은 누구지?
,,,,,,
,,,밀비우스 선택 시,,,
,,,카우딘,,,밀비우스가 범인이라 생각합니다.
,,,밀비우스,,,..!
,,,루이스,,,밀비우스가 어떻게 범행을 저질렀지?
,,,,,,
,,,레시아 선택 시,,,
,,,카우딘,,,레시아가 범인이라 생각합니다.
,,,레시아,,,헉!
,,,레시아,,,저는 아니에요!
,,,루이스,,,레시아가 어떻게 범행을 저질렀지?
,,,,,,
,,,클레디 선택 시,,,
,,,카우딘,,,클레디가 범인이라 생각합니다.
,,,클레디,,,제가요?
,,,클레디,,,카우딘씨 장난이 심하네요!
,,,루이스,,,클레디가 어떻게 범행을 저질렀지?
,,,,,,
,,,추리노트 선택지에서 옳지않은 선택지를 고를 시,,,
,,,루이스,,,그 말은 앞 뒤가 안맞는다고 생각하는데..
,,,카우딘 독백,,,이런!
,,,,,,
,,,레시아 선택 이후 레시아-헬리오의 장비-연구실or실험실-조작을 하다. 추리노트 제시,,,
,,,카우딘,,,레시아는 헬리오 소장님을 살해하기 위해 어떤 조작을 가했습니다.
,,,카우딘,,,헬리오 소장님이 저랑 실험할때 쓰는 장비에 수치를 10배 뻥튀기 시킨거죠.
,,,카우딘,,,그 다음으로 장비에 안전장치를 아무도 모르게 빼놨습니다.
,,,루이스,,,흥미롭군.
,,,레시아,,,그건! 그냥..
,,,루이스,,,조용! 카우딘이 계속 말하도록
,,,카우딘,,,크흠..
,,,카우딘,,,"소장님은 아무것도 모른채 저와 실험을 진행했고, 실험 중 소장님은 과격한 동작을 하다가"
,,,카우딘,,,장치에 한도를 넘어서 기계적으로 신체를 회손시켜놨습니다. 
,,,카우딘,,,"소장님은 신체의 한계를 넘은 물리적인 충격을 받았고, 그대로 쇼크사를 한걸로 추정됩니다."
,,,카우딘,,,저와 소장님의 실험을 이용한 살해트릭! 이것이 사건의 진상입니다!
,,,밀비우스,,,레시아가 그런 계획을 짜다니!
,,,클레디,,,레아 진짜 너가 그런거야?
,,,레시아,,,아니야! 그건 그냥 실수였다고!
,,,레시아,,,아빠!!!!
,,,레시아,,,이 사람들이 괴롭혀요..
,,,레시아,,,으허헝어어헝
,,,루이스,,,아가씨 상태가 이상하니 내가 반론을 해보자면..
,,,루이스,,,그 범행은 누구나 가능한거 아닌가?
,,,루이스,,,밀비우스나 클레디가 연구실 컴퓨터에 들어가서 수치를 조작한 다음
,,,루이스,,,헬리오가 쓰는 장비에 안전장치를 뽑으면 되는거 아냐?
,,,레시아,,,맞아!
,,,레시아,,,나 말고도 다 가능할거야!!
,,,카우딘 독백,,,일리가 있는 말이야.
,,,카우딘 독백,,,하지만 그 증거라면 다른 사람은 이 범행이 불가능 하다는 걸 알릴 수 있어.
,,,,,,
,,,틀린 증거 제시 시,,,
,,,루이스,,,그게 범행이랑 무슨 상관이 있지?
,,,레시아,,,카우딘이 헛소리 하는거에요!
,,,레시아,,,루이스씨! 카우딘을 잡아버려요!
,,,루이스,,,조금만 얘기를 더 들어보죠. 아가씨
,,,카우딘,,,미안해요!
,,,카우딘 독백,,,이상한 걸 말한거같아!
,,,카우딘 독백,,,다시 제시해보자!
,,,,,,
,,,옳바른 증거(레시아의 컴퓨터) 제시,,,
,,,카우딘,,,레시아의 컴퓨터는 다른 연구실의 컴퓨터와 다른게 하나 있죠.
,,,카우딘,,,레시아만 아는 비밀번호가 걸려있습니다.
,,,카우딘,,,"밀비우스님, 클레디씨, 혹시 레시아씨가 자기 연구실 컴퓨터의 비밀번호를 알려준 적이 있나요?"
,,,클레디,,,없어요.
,,,밀비우스,,,비밀번호가 걸려있는지도 몰랐어.
,,,카우딘,,,레시아씨 여기 있는 다른 사람에게 비밀번호를 알려준 적이 있나요?
,,,레시아,,,...
,,,레시아,,,없죠.
,,,카우딘,,,아무도 모르는 비밀번호가 걸려있는 컴퓨터 문서에 조작을 가한다는건 생각하기 어렵습니다.
,,,카우딘,,,레시아가 자리 비울때는 컴퓨터가 금방 잠김상태로 돌아가는거같고요.
,,,카우딘,,,"레시아가 없을 때, 누군가가 레시아의 컴퓨터로 문서를 조작하는 것도 어렵다고 생각해요."
,,,카우딘,,,그래서 이 범행은 레시아만 가능한 것 입니다.
,,,루이스,,,일리가 있군.
,,,레시아,,,그게 그렇게 된다고요.
,,,레시아,,,그건 고작 생일이였어요!
,,,루이스,,,잠시만요. 아가씨.
,,,루이스,,,카우딘 아직 남은게 있다.
,,,카우딘,,,어떤거죠?
,,,루이스,,,동기다.
,,,루이스,,,레시아 아가씨한테는 헬리오 소장님을 죽일 동기가 있나?
,,,루이스,,,그 증거가 없다면 네 말의 설득력이 떨어지게 된다.
,,,카우딘 독백,,,맞는말이야. 그 증거라면..!
,,,,,,
,,,틀린 증거 제시 시 위랑 같은 반응,,,
,,,,,,
,,,옳바른 증거(레시아의 동기) 제시,,,
,,,카우딘,,,레시아는 평소 헬리오 소장님에게 좋지 못한 대우를 받은걸로 알고 있습니다.
,,,카우딘,,,당장 오늘만 해도 제가 보는 앞에서 헬리오 소장님이 레시아씨를 질책했죠.
,,,카우딘,,,클레디씨나 밀비우스님의 이야기를 들어보니 평소에 더 혼내면 혼냈지 덜 혼내지 않았던 모양입니다.
,,,,,,인격적인 모욕도 자주 들었다고 하는데 이런 일이 반복된다면 정신적인 큰 피해를 입게되어 없던 살해 동기도 생길거라 생각합니다.
,,,,,,
,,,레시아,,,클레디. 내 말을 들어줘!
,,,루이스,,,변명은 끝났습니까?
,,,레시아,,,자.. 잠깐
,,,레시아,,,나를 건들면 아빠가 가만두지 않을거야
,,,루이스,,,그 분께 데리러 가는겁니다.
,,,레시아,,,이건 카우딘 저 놈이 나를 음해하는거야!
,,,레시아,,,이거 놔!
,,,카우딘 독백,,,이걸로 잘 해결 된거겠지?
,,,,,,
,,,클레디 선택 이후 클레디-커피머신-휴계실-독을 타다. 추리노트 제시,,,
,,,카우딘,,,클레디는 소장님을 살해하기 위해 많은 준비를 했습니다.
,,,카우딘,,,여기 연구소에 자주 들리면서 이런 저런 물건들을 많이 챙기신거 같더라고요.
,,,카우딘,,,헬리오 소장님이 만든 장비를 설명하기 위한 템플릿이라든가
,,,카우딘,,,실험장비실에 있는 독약도 챙기신거같네요.
,,,클레디,,,템플릿은 챙긴게 맞지만.. 독약은 무슨 근거로 말씀하시는거죠?
,,,클레디,,,사실과 반대되는 말을 하긴다면 기자로서 좌시할 수 없군요.
,,,카우딘,,,지금 당장의 저로서는 독약을 클레디씨가 챙겼다고는 장담할 수 없습니다.
,,,카우딘 독백,,,클레디가 독약을 가져간 정황증거를 제시할까?
,,,,,,
,,,틀린 증거 제시 시,,,
,,,클레디,,,그게 무슨 상관관계가 있죠?
,,,루이스,,,내가 봐도 이건 좀 아닌거같은데..
,,,카우딘,,,"이런,,"
,,,카우딘 독백,,,그냥 넘어 갈까?
,,,,,,
,,,서버실의 기록or 실험 비품 목록을 하나를 제시,,,
,,,카우딘,,,이 문서들을 봐주시겠습니까?
,,,카우딘,,,서버실의 기록을 보면 클레디씨가 왔던 날이 언제인지 알 수 있습니다.
,,,카우딘,,,XX년 AD의 날짜를 보면 그 날부터 실험 비품에 독약에 해당하는 비품하나가 사라진 것을 알 수 있습니다.
,,,카우딘,,,그 날 클레디씨가 어떤 행동을 했는지 연구원분들 기억 나시나요?
,,,레시아,,,잘 모르겠어요..
,,,밀비우스,,,"그 날이면 클레디가 기사 쓸 때 궁금한게 있다고, 같이 실험 비품실에 들어가자고 했어."
,,,밀비우스,,,그래서 같이 실험 비품실에서 들어가서 이것저것 설명해줬지.
,,,카우딘,,,"밀비우스씨, 그 날이라면 독약병을 몰래 가져갈 수 있었을까요?"
,,,밀비우스,,,"그 날은 설명하면서 클레디를 계속 보고 있던것도 아니고,"
,,,밀비우스,,,중간중간 소장님이 부르기도 해서 충분히 가져갈 수 는 있었을거야.
,,,카우딘,,,그렇군요.
,,,카우딘,,,확실한 증거는 아니지만 클레디씨도 여기 연구소에 있는 독약을 충분히 활용 가능하다는 정황증거가 있네요.
,,,클레디,,,..!
,,,클레디,,,에초에 그 약물은 연구원이라면 누구나 쓸 수 있어요!
,,,클레디,,,그것만 가지고 나를 범인이라고 말하는건가요?
,,,카우딘,,,당연히 아니죠. 이건 정황 증거 중 하나입니다.
,,,카우딘,,,다음으로 넘어가면..
,,,,,,
,,,이후 대화,,,
,,,카우딘,,,클레디는 미리 도착하여 헬리오 소장님이 드실 커피에 독을 탔습니다.
,,,카우딘,,,오늘 일찍 도착해있던게 아마 독을 타기 위함이였겠죠.
,,,카우딘,,,커피에 관해 레시아에게 물어보기로는 헬리오 소장님만의 커피 루틴이 있다고 합니다.
,,,카우딘,,,커피잔이 놓여진 위치 중 가장 왼쪽 아래 부터 사용한다고 하셨죠.
,,,카우딘,,,범인은 그 커피잔에 독을 미리 발라둔것 입니다.
,,,카우딘,,,그리고 클레디씨는 레시아씨와 친하기 때문에 이런 정보는 들을수 있겠죠.
,,,클레디,,,설마 추측만으로 저를 범인이라고 하는건가요?
,,,카우딘,,,그건 아니죠.
,,,카우딘,,,그래도 오늘 커피에 독을 탈 수 있던 사람 그리고 커피루틴을 알고 있던건 레시아와 클레디가 있습니다.
,,,카우딘,,,다음으로 중요한 독의 성분을 보겠습니다.
,,,카우딘,,,약효는 상온에서 24시간정도 유지되며 이후 공기와 결합으로 약효가 떨어집니다.
,,,카우딘,,,약효는 4~8시간 뒤에 발현됩니다.
,,,카우딘,,,"이 독을 사용한 사람은 최소 4시간의 여유시간을 가지고 빠져나갈 생각이였지만,"
,,,카우딘,,,어떤 변수가 발생해서 독이 이른 시간에 발현되게 됩니다.
,,,루이스,,,그 변수라는게 뭐지?
,,,카우딘 독백,,,그 변수는..!
,,,,,,
,,,틀린 선택시 위 틀린 선택 과 같은 반응,,,
,,,,,,
,,,오늘 실험 선택 시,,,
,,,카우딘,,,오늘은 저와 헬리오 소장님의 실험이 있었죠.
,,,카우딘,,,"실험을 위해 투여한 약이 있었는데, 그 약은 신진대사를 단시간 증폭시키는 효과가 있었습니다."
,,,카우딘,,,그 약의 효과때문에 아마 독의 효능이 예상시간보다 빠르게 진행됐고.
,,,카우딘,,,헬리오 소장님이 실험중에 죽어버려서 범인은 도망갈 시간을 벌지 못하고 같이 잡히게 되었습니다.
,,,클레디,,,...
,,,카우딘,,,독을 가져온 출처의 장소 실험비품실에 들어갈 수 있는 인물은 밀비우스와 클레디만 가능하고
,,,카우딘,,,오늘 커피에 독을 탈 수 있었던 것은 클레디와 레시아만 가능하니
,,,카우딘,,,두 개가 동시에 가능한 것은 클레디 당신뿐입니다.
,,,클레디,,,그...
,,,클레디,,,그치만 나는 헬리오 소장님을 죽일 이유가 없어요!
,,,,,,
,,,"추가해야되는 대사 헬리오와 카우딘이 약물 투여하는 것, 독약이랑 상호작용, 기록실에 남은 인물들의 위치 기록, cctv 기록, 밀비우스한테 하는 질문, 레시아한테 하는 질문",,,
